,Code,Description,Count
50021,SARANG,Gr. Sarantis SA,3.0
50022,SARAPA,Saratoga Partners LLP,9.0
50023,SARAS,Bank Sarasin & Cie AG,5.0
50024,SARASE,Spinnaker Industries Inc,27.0
50025,SARBSG,Sartorius Stedim Systems GmbH,2.0
50026,SAREUM,Sareum Holdings PLC,62.0
50027,SAREV,South African Revenue Service,5.0
50028,SARFND,S&R Foundation,17.0
50029,SARGCH,Sargento Foods Inc.,3.0
50030,SARGEL,Sargent Electric Co,1.0
50031,SARHOQ,Saratoga Hospital,52.0
50032,SARILP,Saran Industries LP,2.0
50033,SARKAU,Southern Arkansas University,2.0
50034,SARLIB,Sara Lee International B.V.,2.0
50035,SARNFD,Sarnoff Corporation,40.0
50036,SARNIN,"Sarnova, Inc.",10.0
50037,SARNTL,UK Oil & Gas PLC,33.0
50038,SARPLY,Duroply Industries Ltd.,1.0
50039,SARREG,Sares Regis Group,14.0
50040,SARSA,SKF Aerospace France S.A.S.,1.0
50041,SARSAR,Sardar Sarovar Narmada Nigam Ltd.,2.0
50042,SARSTD,SARSTEDT AG & Co,25.0
50043,SARSYI,Spirit Aerosystems Holdings Inc,638.0
50044,SART,Saudi Telecommunications Co,4.0
50045,SARTE,Orbital Corporation Limited,97.0
50046,SARVOO,Euroclear Finland Oy,50.0
50047,SAS,SAS AB,379.0
50048,SASA,Cordiant Communications Group PLC,2.0
50049,SASAAP,Saatchi & Saatchi Australia Pty Ltd,2.0
50050,SASAIH,Sa Sa International Holdings Ltd,2.0
50051,SASAL,Stroock & Stroock & Lavan LLP,55.0
50052,SASCBO,Saboo Sodium Chloro Ltd,1.0
50053,SASCMT,United States Senate Committee on Armed Services,52.0
50054,SASCNS,Social & Scientific Systems Inc.,1.0
50055,SASEC,Enlight Renewable Energy Ltd.,6.0
50056,SASEIM,Nidec Sankyo Corporation,1.0
50057,SASEML,Samsung Austin Semiconductor LLC,14.0
50058,SASEN,SaskEnergy Inc,1.0
50059,SASHCP,Valeura Energy Inc.,1.0
50060,SASILI,Sino-American Silicon Products Inc,3.0
50061,SASIST,SAS Institute Inc,177.0
50062,SASKEN,Sasken Technologies Limited,7.0
50063,SASKGI,Saskatchewan Government Insurance,3.0
50064,SASMF,Skadden Arps Slate Meagher & Flom LLP,1073.0
50065,SASMGL,Silvercrest Asset Management Group Inc,332.0
50066,SASOGG,Sasol Germany GmbH,11.0
50067,SASRPI,S & S X-Ray Products Inc.,4.0
50068,SATBAN,S&T Bank,15.0
50069,SATCAC,Saturna Capital Corporation,21.0
50070,SATCNC,Satcon Technology Corp,48.0
50071,SATCOP,Saturn Corp,4.0
50072,SATCOR,Sato Holdings Corporation,5.0
50073,SATCPI,Satco Products Inc.,4.0
50074,SATDEV,Lajin Entertainment Network Group Ltd,2.0
50075,SATECY,South Africa Department of Science and Technology,5.0
50076,SATEHI,Satellite Healthcare Inc.,198.0
50077,SATING,Sify Technologies Ltd,51.0
50078,SATJSB,Destini Bhd,1.0
50079,SATLAB,"Sato Pharmaceutical Co., Ltd.",10.0
50080,SATLSL,Ascend Clinical Llc,1.0
50081,SATMA,Trainers' House Oyj,4.0
50082,SATMXE,Eutelsat Americas,2.0
50083,SATOSI,Strategic Environmental & Energy Resources Inc,6.0
50084,SATRUS,Sartorius AG,506.0
50085,SATSYI,Instron Corporation,9.0
50086,SATUO,University of Science and Technology of China,11.0
50087,SATVID,SJVN Limited,2.0
50088,SATYAM,Satyam Computer Services Ltd,16.0
50089,SAUAEV,Saudi Aramco Energy Ventures LLC,4.0
50090,SAUCHM,Saudi Chemical Company,2.0
50091,SAUD,Saudi Arabian Airlines,3.0
50092,SAUDPF,Public Investment Fund,2.0
50093,SAUFOR,"Chemanol, the Methanol Chemicals Company",10.0
50094,SAUFPL,Sauflon Pharmaceuticals Ltd,133.0
50095,SAUKAY,Saudi Kayan Petrochemical Company,2.0
50096,SAULCI,Saul Centers Inc,254.0
50097,SAULIM,Saudi Lime Industries Co,1.0
50098,SAUMHE,Saudi Arabia Ministry of Health,40.0
50099,SAUMIN,Saudi Arabian Mining Company (Maaden),10.0
50100,SAUNVR,St. Ambrose University,9.0
50101,SAUSHA,Skandia Austria Holding AG,1.0
50102,SAUTII,Sage Automotive Interiors Inc,1.0
50103,SAUZUQ,Metro Performance Glass Ltd,4.0
50104,SAVAII,Savage Companies,1.0
50105,SAVASC,Savage Sports Corporation,3.0
50106,SAVAUS,Fluence Corporation Ltd,7.0
50107,SAVAV,Sea Holdings Ltd.,3.0
50108,SAVECH,Save the Children,226.0
50109,SAVEDG,Sanofi-Aventis Deutschland GmbH,2522.0
50110,SAVEJO,ALPS Medical Breakthroughs ETF,17.0
50111,SAVEMP,SAVE S.p.A.,3.0
50112,SAVEMS,The Save Mart Companies,71.0
50113,SAVESS,Sanofi-Aventis (Suisse) SA,11.0
50114,SAVGLT,The SAVO Group Ltd,3.0
50115,SAVHO,SHL Group Ltd,10.0
50116,SAVLL,Savills PLC,27.0
50117,SAVRSI,Savage Range Systems Inc.,1.0
50118,SAVSL,Savers Inc,4.0
50119,SAVTEM,Small World Kids Inc,2.0
50120,SAVTSM,Strack & Van Til Super Market Inc,2.0
50121,SAVVUL,SAVVIS UK Ltd,1.0
50122,SAWAER,South Africa Department of Water and Sanitation,2.0
50123,SAWCC,Saline Water Conversion Corporation,2.0
50124,SAWLLP,Snell & Wilmer L.L.P.,26.0
50125,SAWMCA,Saw Mill Capital LLC,6.0
50126,SAWMHA,Scott and White Memorial Hospital and Scott Sherwood and Brindley Foundation,13.0
50127,SAWPH,Sawai Pharmaceutical Co Ltd,345.0
50128,SAWPPS,Jindal Saw Ltd,1.0
50129,SAWSEC,S&W Seed Company,260.0
50130,SAXBA,Saxo Bank A/S,127.0
50131,SAXCII,Saxco International Inc.,5.0
50132,SAYIND,Sayaji Industries Ltd.,2.0
50133,SAYTGP,Spatialight Inc,8.0
50134,SAZABY,SAZABY LEAGUE Limited,1.0
50135,SAZLIC,Saudi Agricultural & Livestock Investment Company,1.0
50136,SAZZZZ,Technovative Group Inc.,16.0
50137,SBACOM,SBA Communications Corporation,773.0
50138,SBANKL,Standard Bank Plc,7.0
50139,SBAPPF,Smith Barney Appreciation Fund,91.0
50140,SBARIS,Netz Group Ltd.,1.0
50141,SBARO,Sbarro Inc,11.0
50142,SBAYRT,Silver Bay Realty Trust Corp.,295.0
50143,SBB,Schweizerische Bundesbahnen,1.0
50144,SBBIKJ,State Bank of Bikaner & Jaipur,6.0
50145,SBBSOF,Automic Software GmbH,4.0
50146,SBBZZR,Soilbuild Business Space REIT,2.0
50147,SBCADV,SBC Advertising,1.0
50148,SBCAI,SABIC Americas Inc,1.0
50149,SBCAL,California Bank & Trust,4.0
50150,SBCATT,AT&T Inc,9445.0
50151,SBCC,Saudi Cement Company,3.0
50152,SBCGL,Sb Capital Group Llc,2.0
50153,SBCIDI,LMP Capital & Income Fund Inc.,1.0
50154,SBCJAP,Starbucks Coffee Japan Limited,7.0
50155,SBCNV,Southern Baptist Convention,9.0
50156,SBCOFF,Starbucks Corporation,4665.0
50157,SBCYCI,Sibcy Cline Inc,10.0
50158,SBDEPW,Global X DAX Germany ETF,363.0
50159,SBDI,Saker Aviation Services Inc,5.0
50160,SBDPPN,Sabra Dipping Co LLC,2.0
50161,SBECAN,Small Business and Entrepreneurship Council,6.0
50162,SBECLL,Soma Beverage Company LLC,2.0
50163,SBEECC,SmithKline Beecham Corporation,1238.0
50164,SBEI,Neonode Incorporated,200.0
50165,SBENTE,Sano Bruno's Enterprises Ltd,2.0
50166,SBFJJS,Quantum Capital Inc.,12.0
50167,SBFMPL,SBI Funds Management Pvt Ltd,1.0
50168,SBHGUS,Simbhaoli Sugars Ltd,10.0
50169,SBHIII,Western Asset High Income Fund II Inc.,2.0
50170,SBHSCI,SBH Sciences Inc,24.0
50171,SBHVHL,Strategic Behavioral Health Llc,2.0
50172,SBIC,Saudi Basic Industries Corp,150.0
50173,SBICML,SBI Capital Markets Limited,1.0
50174,SBICOM,ValCom Inc,2.0
50175,SBII,Schrader-Bridgeport International Inc,1.0
50176,SBILIC,SBI Life Insurance Company Ltd.,15.0
50177,SBIMOC,"SBI Mortgage Co., Ltd.",5.0
50178,SBIND,State Bank of India Ltd.,452.0
50179,SBINNI,Small Bone Innovations Inc,338.0
50180,SBIO,Siena Biotech SpA,16.0
50181,SBIOCO,Biocodex AS,142.0
50182,SBIOEP,Samsung Bioepis Co Ltd,1189.0
50183,SBIOLB,Abbott Biologicals B.V.,15.0
50184,SBIOS,"S*BIO Pte, Ltd.",78.0
50185,SBIOSP,Silicon Biosystems SpA,182.0
50186,SBIVK,SBI Investment Co. Ltd.,5.0
50187,SBIYS,SemBioSys Genetics Inc,2.0
50188,SBLADI,"Specialty Blades, Inc.",15.0
50189,SBLSKO,SB LiMotive Co. Ltd,1.0
50190,SBLSYS,Siebel Systems Inc,19.0
50191,SBLUZZ,Xalles Holdings Inc,3.0
50192,SBMRDI,Stemina Biomarker Discovery Inc,27.0
50193,SBMYS,State Bank of Mysore,30.0
50194,SBNCI,Haci Omer Sabanci Holding AS,6.0
50195,SBNCUV,Sabanci University,6.0
50196,SBNLDN,Bin Ladin Group,4.0
50197,SBNTCH,Sabien Technology Group PLC,2.0
50198,SBOCHC,South Boston Community Health Center Inc.,1.0
50199,SBOFA,State Bank of Arthur,1.0
50200,SBORZZ,Epic Stores Corp,4.0
50201,SBOTAI,Starwest Botanicals Inc,15.0
50202,SBOTN,Amegy Bank National Association,2.0
50203,SBPAK,State Bank of Pakistan,3.0
50204,SBPANL,SeaCliff Beauty Packaging & Laboratories Inc,10.0
50205,SBPHAR,SK Life Science Inc,27.0
50206,SBPLMR,Nuo Therapeutics Inc,1301.0
50207,SBPPRI,SB Pharmco Puerto Rico Inc,7.0
50208,SBPVOB,Citadel Exploration Inc.,7.0
50209,SBR,Sabine Royalty Trust,9.0
50210,SBRAIR,Aviakompaniia Sibir,1.0
50211,SBRANI,CannLabs Inc.,19.0
50212,SBRDRS,Seabridge Gold Inc,171.0
50213,SBRGNS,Sabero Organics Gujarat Ltd,1.0
50214,SBRHGN,DKSH Holding AG,10.0
50215,SBRI,Green Hygienics Holdings Inc.,12.0
50216,SBRINV,Sabaro Investments Limited,1.0
50217,SBRKRL,Shorcan Brokers Limited,2.0
50218,SBRTBO,Simlatus Corporation,10.0
50219,SBRU,"Subaru of America, Inc.",107.0
50220,SBRY,J Sainsbury PLC,185.0
50221,SBSAFR,Standard Bank of South Africa Limited,18.0
50222,SBSAUS,Special Broadcasting Service,4.0
50223,SBSC,Spanish Broadcasting System Inc,44.0
50224,SBSHI,"BMC Stock Holdings, Inc.",368.0
50225,SBTIND,State Bank of Travancore,12.0
50226,SBUCL,Sumika Bayer Urethane Co. Ltd.,24.0
50227,SBUITI,Siemens Building Technologies Inc,2.0
50228,SBUNVR,Stony Brook University,424.0
50229,SBUSN,U.S. Small Business Administration,1321.0
50230,SBUSNI,"Smart Business Network, Inc.",1.0
50231,SBWSPC,Sberbank Russia OJSC,108.0
50232,SBYGLD,Sibanye Gold Ltd.,607.0
50233,SCABLE,Shaw Communications Inc,170.0
50234,SCACLM,S Chand & Company Ltd,2.0
50235,SCAF,Surgical Care Affiliates Inc,633.0
50236,SCAGCO,Scotland's Rural College,12.0
50237,SCAHCI,Shield-California Health Care Center Inc.,2.0
50238,SCAHLD,Svenska Cellulosa Aktiebolaget,119.0
50239,SCAIGR,Insr Insurance Group ASA,2.0
50240,SCALID,Scandlines GmbH,2.0
50241,SCALZZ,"StoneCalibre, LLC",8.0
50242,SCAMFT,Society of American Foresters,1.0
50243,SCANAH,Arundel AG,1.0
50244,SCANCI,Karma Industries Ltd.,2.0
50245,SCANG,Sedona Corp,12.0
50246,SCANHO,Scandic Hotels AB,8.0
50247,SCANSW,Scania AB,65.0
50248,SCANT,Scantron Corp,4.0
50249,SCAPID,Sunstone Capital A/S,167.0
50250,SCARBR,Scarborough Research,2.0
50251,SCARCU,Southwest C. A. R. E. Center,7.0
50252,SCAREL,SCANA Corporation,831.0
50253,SCAREQ,Scarsdale Equities LLC,56.0
50254,SCARRI,Sunco Carriers Inc,1.0
50255,SCATTE,Scattered Corp,2.0
50256,SCBAAI,Solomon Cordwell Buenz & Associates Inc,1.0
50257,SCBALQ,School of American Ballet,13.0
50258,SCBI,Santa Cruz Biotechnology Inc,111.0
50259,SCBIOZ,Selecta Biosciences Inc.,1616.0
50260,SCBKCF,Security California Bancorp,4.0
50261,SCBL,Sanford C Bernstein Ltd,1.0
50262,SCCC,Surrey County Cricket Club Ltd,2.0
50263,SCCCAN,Red Crescent Resources Ltd.,1.0
50264,SCCDA,Cattolica Assicurazioni Soc. Coop.,8.0
50265,SCCEOA,Senior Care Centers Of America Inc,2.0
50266,SCCEPL,Stellar Asia Pacific Pty Ltd,1.0
50267,SCCHED,South Carolina Commission on Higher Education,1.0
50268,SCCIF,Sleep Country Canada Income Fund,1.0
50269,SCCLP,Sprint Communications Company L.P.,6.0
50270,SCCNEL,Satin Creditcare Network Limited,4.0
50271,SCCOR,Security Corporation,2.0
50272,SCCPTP,Second City Capital Partners,6.0
50273,SCDHEC,South Carolina Department of Health and Environmental Control,39.0
50274,SCDHHS,South Carolina Department of Health and Human Services,13.0
50275,SCDOAG,South Carolina Department of Agriculture,2.0
50276,SCDONR,South Carolina Department of Natural Resources,3.0
50277,SCDSML,Suzhou Dongshan Precision Manufacturing Company Limited,2.0
50278,SCDTOI,South Carolina Department of Insurance,2.0
50279,SCE,Saudi Electricity Company,3.0
50280,SCEAI,Sony Computer Entertainment America Inc,27.0
50281,SCECOM,Shenzhen Coship Electronics Co Ltd,5.0
50282,SCECOR,Schindler Elevator Corporation,1.0
50283,SCEDLC,Southern California Edison Co,158.0
50284,SCEG,South Carolina Electric & Gas Co,26.0
50285,SCEHL,Sumitomo Corporation Capital Europe Plc,2.0
50286,SCELVS,Aster Capital Partners SAS,3.0
50287,SCEMEL,Sunstate Cement Ltd,3.0
50288,SCEOMG,Think Finance Inc.,3.0
50289,SCEPCI,South Central Power Company Inc,2.0
50290,SCEQP,Scottish Equity Partners,7.0
50291,SCERTS,Scientific Certification Systems,9.0
50292,SCETAF,SNCF Participations SA,2.0
50293,SCEXCD,Securities and Exchange Board of India,491.0
50294,SCEXSV,Securities and Exchange Surveillance Commission,1.0
50295,SCEYRI,Schepens Eye Research Institute,96.0
50296,SCEZPK,SCE Trust II,12.0
50297,SCF,Santander Consumer Finance,1.0
50298,SCFADC,Scolaris Food and Drug Company,25.0
50299,SCFCFR,Societe Civile Financiere FC,5.0
50300,SCFIEN,SCOTTISH FINANCIAL ENTERPRISE,15.0
50301,SCFLFS,SciFluor Life Sciences LLC,71.0
50302,SCFNSI,Securian Financial Services Inc,2.0
50303,SCFOAR,Science Foundation Arizona,29.0
50304,SCFOSI,Schwan's Food Service Inc,2.0
50305,SCFPTN,SCF Partners,2.0
50306,SCFUND,SC Fundamental Inc,17.0
50307,SCGCO,Southern California Gas Co,38.0
50308,SCGCSF,DWS Enhanced Commodity Strategy Fund Inc.,1.0
50309,SCGEN,SecuGen Corp,2.0
50310,SCGFAQ,RMG Networks Holding Corporation,99.0
50311,SCGG,SELLBYTEL Group GmbH,1.0
50312,SCGGAG,Sichuan Guoguang Agrochemical Co Ltd,6.0
50313,SCGHLD,ON Semiconductor Corp,1130.0
50314,SCGINC,Source Capital Group Inc,101.0
50315,SCGLRA,La Scogliera SpA,1.0
50316,SCGPDR,General Cannabis Corporation,114.0
50317,SCGRHL,Schonfeld Group Holdings LLC,5.0
50318,SCGYON,Society of Gynecologic Oncologists,104.0
50319,SCHAIR,Schweizer Aircraft Corp,6.0
50320,SCHAWA,Schiff Hardin LLP,78.0
50321,SCHAWC,Schawbel Corp,5.0
50322,SCHBIC,SCHMOLZ + BICKENBACH GmbH & Co. KG,14.0
50323,SCHBRR,"Schiffrin Barroway Topaz & Kessler, LLP",412.0
50324,SCHCAP,Schooner Capital Corp,6.0
50325,SCHCOM,Schurz Communications Inc,27.0
50326,SCHDRA,Alexander Schleicher GmbH & Co. Segelflugzeugbau,14.0
50327,SCHEKG,Schering-Kahlbaum GmbH,2.0
50328,SCHEMC,Schaffner Holding AG,7.0
50329,SCHERO,Bayer Oy,42.0
50330,SCHFTI,Schaefer Technologies Inc.,4.0
50331,SCHGH,Gerhard Schubert GmbH,2.0
50332,SCHGLD,Gravitas Financial Inc.,2.0
50333,SCHGPZ,Schwab U S Large Cap Growth ETF,8.0
50334,SCHHAI,Henry Schein Canada Inc,31.0
50335,SCHHCL,Schering Health Care Ltd,28.0
50336,SCHHL,Southern Cross Healthcare Group plc,5.0
50337,SCHIGF,Schroder Income Growth Fund PLC,28.0
50338,SCHIGY,Saatchi Gallery,1.0
50339,SCHIML,Schroder Investment Management Ltd,2.0
50340,SCHJGF,Schroder Japan Growth Fund PLC,8.0
50341,SCHJGG,SCHOTT JENAer GLAS GmbH,2.0
50342,SCHK,Carl Schlenk AG,3.0
50343,SCHLBK,Schoeller-Bleckmann Oilfield Equipment AG,1.0
50344,SCHLCA,Whatman GmbH,2.0
50345,SCHLGL,Schlegel Systems Inc,6.0
50346,SCHLMB,NSC Groupe SA,2.0
50347,SCHLNE,Albioma,1.0
50348,SCHLRL,Schuler AG,2.0
50349,SCHLSP,Schleich GmbH,2.0
50350,SCHMAU,Schweitzer Mauduit International Inc,479.0
50351,SCHME,"STCube, Inc.",4.0
50352,SCHMFC,Schaeffer Manufacturing Company,2.0
50353,SCHMI,Schmitt Industries Inc,32.0
50354,SCHMSS,MCH Group AG,2.0
50355,SCHND,Schindler Holding AG,10.0
50356,SCHNDR,Schneider Electric SE,333.0
50357,SCHNKM,Schnuck Markets Inc,20.0
50358,SCHNTS,Vanguard International Explorer Fund,1.0
50359,SCHNW,Schneider National Inc.,127.0
50360,SCHOHC,School Health Corporation,29.0
50361,SCHONB,VirTra Inc.,1.0
50362,SCHOSA,Schott AG,264.0
50363,SCHOTC,Schott Corporation,10.0
50364,SCHPIN,PT Merck Sharp Dohme Pharma Tbk,27.0
50365,SCHPLO,Merck & Co. Inc.,66555.0
50366,SCHQTZ,Schwab US Broad Market ETF,2.0
50367,SCHR,Schroders PLC,241.0
50368,SCHRGI,Morgans Hotel Group Co,264.0
50369,SCHRNC,Merck Canada Inc,104.0
50370,SCHRNG,Bayer Pharma AG,1345.0
50371,SCHRZB,Schulte Roth & Zabel LLP,83.0
50372,SCHRZI,Scherzer International Corporation,24.0
50373,SCHS,Schottenstein Stores Corp,1.0
50374,SCHSLB,Landesbank Sachsen Girozentrale,5.0
50375,SCHSPC,"School Specialty, Inc",31.0
50376,SCHSTC,Schuff Steel Company,1.0
50377,SCHSTD,Schibsted ASA,47.0
50378,SCHTCO,Schlumberger Technology Corp,8.0
50379,SCHTDY,Schenectady County Community College,17.0
50380,SCHTEL,Schoeller Textil AG,3.0
50381,SCHUK,Baillie Gifford UK Growth Fund PLC,16.0
50382,SCHUME,Schumacher Electric Corp,6.0
50383,SCHUNV,Schweizerische Unfallversicherungsanstalt,1.0
50384,SCHVCC,Schiavone Construction Co. LLC,1.0
50385,SCHW,Schouw & Co A/S,18.0
50386,SCHWAB,The Charles Schwab Corporation,2230.0
50387,SCHWAS,Schwan-STABILO Schwanhaeusser GmbH & Co. KG,1.0
50388,SCHWDR,Dr. Willmar Schwabe GmbH & Co. KG,42.0
50389,SCHWLI,Swarovski Lighting Ltd,2.0
50390,SCHYCH,SIGroup,45.0
50391,SCHZGY,Sanchez Energy Corp.,544.0
50392,SCIAGU,SCI AG,1.0
50393,SCIAL,Siskinds LLP,5.0
50394,SCIANT,Scientific-Atlanta Inc,3.0
50395,SCIAPP,Leidos Holdings Inc.,490.0
50396,SCIAPT,Scientific Applications Intl,7.0
50397,SCIBAA,SciBase AB,195.0
50398,SCICRP,MMGL Corp,1.0
50399,SCIDIP,Scientific Digital Imaging PLC,15.0
50400,SCIENF,Scient'x,2.0
50401,SCIENT,Eidos plc,101.0
50402,SCIERC,Scientific Research Corporation,81.0
50403,SCIESI,Society For Science & The Public,4.0
50404,SCIETC,Scientific Technologies Corporation,12.0
50405,SCIFMA,Securities Industry and Financial Markets Association,27.0
50406,SCIFSY,Securit Information Security,1.0
50407,SCIGHC,Sportech Racing LLC,3.0
50408,SCIGII,Scientific Games International Inc.,2.0
50409,SCIHSI,Nutricia North America Inc.,35.0
50410,SCIIPS,Scripps Institution of Oceanography,12.0
50411,SCILLV,Secret Intelligence Service,7.0
50412,SCIMLL,SciMetrika LLC,7.0
50413,SCIN,The Scottish Investment Trust PLC,8.0
50414,SCINFI,Science Foundation Ireland,63.0
50415,SCINMI,S Connect Company Limited,2.0
50416,SCINPZ,Columbia India Small Cap ETF,9.0
50417,SCINST,European Institute of Science AB,22.0
50418,SCINTC,Scintrex Trace Corp,2.0
50419,SCIOIC,SCIOinspire Holdings Inc.,1.0
50420,SCIOSI,Scios Inc,528.0
50421,SCIPHA,Sciclone Pharmaceuticals Inc,3177.0
50422,SCIPHM,SCI Pharmtech Inc,45.0
50423,SCIPLS,Scie-Plas Ltd,8.0
50424,SCIPRL,Schindler India Pvt Ltd,1.0
50425,SCIQC,Jaggaer Inc,489.0
50426,SCISYS,SciSys Group Plc,5.0
50427,SCIT,Finsbury Growth & Income Trust PLC,4.0
50428,SCITCO,Suny Cellular Communication Ltd.,16.0
50429,SCITGM,Scil Technology GmbH,59.0
50430,SCIUSA,QED Connect Inc.,6.0
50431,SCIVBI,SciVision Biotech Incorporated,58.0
50432,SCJCM,Diversey Holdings Inc.,4.0
50433,SCKLTY,Blockchain Power Trust,2.0
50434,SCKNGY,SunCoke Energy Partners L.P.,647.0
50435,SCKWIZ,Moxian Inc,17.0
50436,SCL,Stepan Co,763.0
50437,SCLAHC,St. Clair Health Corporation,2.0
50438,SCLCMP,Scaled Composites LLC,2.0
50439,SCLDOC,South Carolina Department of Commerce,30.0
50440,SCLDOT,South Carolina Department of Transportation,7.0
50441,SCLEFD,South Carolina Law Enforcement Division,7.0
50442,SCLF,Banner Chemicals Limited,1.0
50443,SCLGNT,ThoughtSpot Inc,33.0
50444,SCLINU,Springfield Clinic Llp,6.0
50445,SCLIVH,Scanfil Oyj,1.0
50446,SCLJUS,Social Justice Coalition,1.0
50447,SCLLTI,Stemedica Cell Technologies Inc,177.0
50448,SCLRFH,Scleroderma Research Foundation,66.0
50449,SCLRNG,Scientific Learning Corp,18.0
50450,SCLRSH,Sinclair & Rush Inc,11.0
50451,SCLYPI,BYK Additives Inc,53.0
50452,SCMAC,ClaimsPro Inc,8.0
50453,SCMBDC,South Cambridgeshire District Council,1.0
50454,SCMFDN,Scleroderma Foundation,47.0
50455,SCMGIN,ScImage Inc,6.0
50456,SCMIND,SelectMinds Inc,1.0
50457,SCMMIC,"Identiv, Inc.",330.0
50458,SCMOBZ,Liberty Health Sciences Inc,317.0
50459,SCMP,Great Wall Pan Asia Holdings Limited,4.0
50460,SCMPH,SCM Pharma Ltd,17.0
50461,SCMSAM,Schryver Medical Sales and Marketing LLC,25.0
50462,SCMSEI,"Sedgwick Claims Management Services, Inc.",49.0
50463,SCMUSM,Science Museum,14.0
50464,SCNCGU,Screen Actors Guild - American Federation of Television and Radio Artists,5.0
50465,SCND,Scientific Industries Inc.,860.0
50466,SCNDAV,Second Avenue Partners,20.0
50467,SCNDDL,International Greetings UK Ltd.,2.0
50468,SCNDG,Scania Deutschland GmbH,2.0
50469,SCNDIN,BBMF Corp,1.0
50470,SCNDLP,Stryker Canada LP,25.0
50471,SCNEXU,Synexus Clinical Research Plc,5.0
50472,SCNGRK,WPP Scangroup Ltd,1.0
50473,SCNHLI,Sansio,32.0
50474,SCNHLP,SCAN Health Plan,114.0
50475,SCNLLH,Scancell Holdings PLC,115.0
50476,SCNLNI,Scanlan International Inc.,38.0
50477,SCNNA,Scienion AG,289.0
50478,SCNTGY,Science and Technology Facilities Council,30.0
50479,SCNTWI,Scripps Networks LLC,7.0
50480,SCOBGY,The Society of Obstetricians and Gynaecologists of Canada,4.0
50481,SCOCAI,Scotia Capital Inc,30.0
50482,SCOCO,Sinclair Oil Corp,2.0
50483,SCOCOT,ScottCare Corporation,12.0
50484,SCOCUI,Scotia Capital (USA) Inc,13.0
50485,SCOFOQ,SCO Family of Services,3.0
50486,SCOGNP,Scotia Gas Networks Limited,1.0
50487,SCOHCS,Scotland Health Care System,4.0
50488,SCOHEV,State Council of Higher Education for Virginia,16.0
50489,SCOLOC,Spectra Colors Corp,5.0
50490,SCOMCO,Sterling Computers Corporation,3.0
50491,SCOMIU,South Community Inc.,2.0
50492,SCOMMO,Specialty Commodities Inc,2.0
50493,SCONBS,Santander Consumer Bank SA,1.0
50494,SCONDU,Market Vectors Semiconductor ETF,9.0
50495,SCOONM,Southwest College Of Naturopathic Medicine & Health Sciences,2.0
50496,SCOPI,Scope Metals Group Ltd,20.0
50497,SCORC,SLR Consulting Ltd,3.0
50498,SCORIZ,Schroder Oriental Income Fund Ltd,3.0
50499,SCOROA,Sysmex America Inc,406.0
50500,SCORTI,Southern California Orthopedic Institute L.P.,2.0
50501,SCOSAL,Shiseido Americas Corporation,11.0
50502,SCOTEP,Scotiabank Europe plc,2.0
50503,SCOTFC,Scot Forge Company,5.0
50504,SCOTGD,Scotgold Resources Limited,6.0
50505,SCOTLC,Alliance Safety Council,2.0
50506,SCOTWH,Scott & White Health Plan,14.0
50507,SCOUL,The Scoular Company,11.0
50508,SCOUMH,Scotland County Memorial Hospital,1.0
50509,SCOUTG,Girl Scouts of the United States of America,62.0
50510,SCOVIL,Scovill Fasteners Inc,14.0
50511,SCP,Sun Capital Partners Inc,198.0
50512,SCPA,Scapa Group PLC,31.0
50513,SCPAIU,Scheer Partners Inc.,16.0
50514,SCPAXP,Shopping Centres Australasia Property Group,1.0
50515,SCPBLK,Scorpio Bulkers Inc.,395.0
50516,SCPCKG,Scholle Packaging Inc,2.0
50517,SCPHAI,Schwarz Pharma Inc,58.0
50518,SCPIPC,Carolina Gas Transmission Corporation,6.0
50519,SCPIPL,Scope International Pvt Limited,6.0
50520,SCPLLP,Sovereign Capital Partners LLP,3.0
50521,SCPMG,Southern California Permanent Medical Group,54.0
50522,SCPNTW,"Scripps Networks Interactive, Inc.",743.0
50523,SCPPA,Southern California Public Power Authority,3.0
50524,SCPPUL,Pool Corp.,423.0
50525,SCPREZ,TruTrace Technologies Inc.,7.0
50526,SCPTAL,Point72 Asset Management LP,2338.0
50527,SCPTGI,Security Capital Group Inc,17.0
50528,SCPTNK,Scorpio Tankers Inc.,495.0
50529,SCRACH,Southern Cross Airports Corporation Holdings Ltd,1.0
50530,SCRAI,SCRA Technology Ventures,21.0
50531,SCRAIS,Security & Intelligence Services India Limited,4.0
50532,SCRARM,South Carolina Arts Commission,3.0
50533,SCRCOR,G4S PLC,74.0
50534,SCRDIU,Secure Designs Inc.,4.0
50535,SCRENR,Secure Energy Services Inc,34.0
50536,SCRENW,Secure America Now,1.0
50537,SCRFCC,Scrufari Construction Company Inc.,18.0
50538,SCRFGI,"Securian Financial Group, Inc",15.0
50539,SCRILL,ScriptPro LLC,201.0
50540,SCRIOQ,Social Reality Inc,235.0
50541,SCRIPE,EW Scripps Co,945.0
50542,SCRIPI,Scrip Inc.,3.0
50543,SCRIPT,ScriptSave,5.0
50544,SCRKNG,Sacramento Kings (team),48.0
50545,SCRKPK,Spring Creek Healthcare Systems Inc.,3.0
50546,SCRLOP,ScrollMotion Inc.,12.0
50547,SCRMRC,Securamerica Llc,2.0
50548,SCROEE,Southern Cross Electrical Engineering Limited,1.0
50549,SCROLT,Danfoss Scroll Technologies LLC,3.0
50550,SCRONE,Score One Inc,3.0
