,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
523,novadaq,"Novadaq Technologies Inc, Novadaq Technologies Inc., Novadaq Technologies, Inc.","4585, 4586, 4587",novadaq,[40920],['novadaq'],['Novadaq Technologies Inc'],[100]
524,novartis,"Novartis Pharmaceutical Corporation, Novartis Pharmaceuticals Corporation","4590, 4591",novartis,"[40904, 52630]","['novartis', 'novartis']","['Novartis Corporation', 'Novartis AG']","[100, 100]"
525,novimmune,NovImmune SA,4595,novimmune,[41712],['novimmune'],['NovImmune SA'],[100]
526,novo nordisk,"Novo Nordisk, Novo Nordisk Pharma, Inc.","4597, 4598",novo nordisk,"[40934, 40935, 40938]","['novo nordisk', 'novo nordisk', 'novo nordisk']","['Novo Nordisk Inc', 'Novo Nordisk A/S', 'Novo Nordisk Ltd']","[100, 100, 100]"
527,noxell,"Noxell, Noxell Corporation","4600, 4601",noxell,[40958],['noxell'],['Noxell Corporation'],[100]
528,nutraclick,"NutraClick, LLC",4640,nutraclick,[27451],['nutraclick'],['NutraClick'],[100]
529,oaktree,"Oaktree Products Inc., OAKTREE PRODUCTS, INC.","4670, 4671",oaktree,[42106],['oaktree'],['Oaktree Capital Group LLC'],[100]
530,oasis,"Oasis Health, LLC",4672,oasis,[42117],['oasis'],['OASIS Medical Inc'],[100]
531,octapharma,Octapharma USA Inc,4681,octapharma,[42273],['octapharma'],['Octapharma AG'],[100]
532,ocular therapeutix,"Ocular Therapeutix, Inc.",4682,ocular therapeutix,[42283],['ocular therapeutix'],"['Ocular Therapeutix, Inc.']",[100]
533,omax,"Omax Health, Inc",4704,omax,[42761],['omax'],['Omax Corporation'],[100]
534,omeros,Omeros Corporation,4707,omeros,[42685],['omeros'],['Omeros Corporation'],[100]
535,one,"Care One, Care One (American Sales Company), Care One (Retail Business Services, LLC.)","1356, 1357, 1358",one,"[8288, 40858]","['one', 'one']","['Bank One Capital VI', 'Capital One Bank']","[100, 100]"
536,onset dermatologics,"Onset Dermatologics LLC, Onset Dermatologics, LLC","4723, 4724",onset dermatologics,[42865],['onset dermatologics'],['Onset Dermatologics LLC'],[100]
537,onyx,"Onyx Pharmaceuticals, Inc.",4726,onyx,"[42893, 42894]","['onyx', 'onyx']","['Onyx Corp', 'Onyx Medical Corporation']","[100, 100]"
538,opko,OPKO Pharmaceuticals LLC,4729,opko,[15728],['opko'],['OPKO Health Inc.'],[100]
539,optinose,"OptiNose US, Inc.",4734,optinose,[43036],['optinose'],['OptiNose Inc'],[100]
540,oralabs,OraLabs,4736,oralabs,[43072],['oralabs'],['Oralabs Inc.'],[100]
541,orapharma,"OraPharma, Inc.",4739,orapharma,[43074],['orapharma'],['OraPharma Inc'],[100]
542,orexo,"Orexo US, Inc.",4743,orexo,[43269],['orexo'],['Orexo AB'],[100]
543,organon,Organon USA Inc.,4747,organon,"[43135, 43151]","['organon', 'organon']","['Organon SA', 'Organon International Inc']","[100, 100]"
544,orient,"Orient Pharma Co., Ltd., Orient Pharma Co.,Ltd","4749, 4750",orient,[43132],['orient'],['Orient Corporation'],[100]
545,origins natural resources,ORIGINS NATURAL RESOURCES INC.,4752,origins natural resources,[42860],['origins natural resources'],['Origins Natural Resources Inc'],[100]
546,otonomy,"Otonomy, Inc.",4762,otonomy,[43404],['otonomy'],['Otonomy Inc.'],[100]
547,otsuka america,"Otsuka America Pharmaceutical, Inc.",4763,otsuka america,[43425],['otsuka america'],['Otsuka America Inc'],[100]
548,owens&minor,"Owens & Minor, Owens & Minor Inc., Owens & Minor, Inc","4771, 4773, 4774",owens&minor,[42161],['owens&minor'],['Owens & Minor Inc'],[100]
549,owens&minor distribution,"Owens & Minor Distribution, Inc.",4772,owens&minor distribution,[42108],['owens&minor distribution'],['Owens & Minor Distribution Inc.'],[100]
550,oxford,"Oxford Pharmaceuticals, LLC",4778,oxford,"[43540, 43570]","['oxford', 'oxford']","['Oxford Capital Group, LLC', 'Oxford Capital Corp']","[100, 100]"
551,pacific,"Pacific Pharma, Inc.",4799,pacific,"[3863, 43642, 44203]","['pacific', 'pacific', 'pacific']","['American Pacific Corp', 'Pacific National Bank', 'Pacific Partners']","[100, 100, 100]"
552,pacific shore,"Pacific Shore Holdings, Inc.",4800,pacific shore,[2254],['pacific shore'],['Pacific Shore Holdings Inc.'],[100]
553,packaging,American Health Packaging,367,packaging,[1809],['packaging'],['American Health Packaging Inc'],[100]
554,palmetto,Palmetto Pharmaceuticals,4813,palmetto,"[43758, 43762]","['palmetto', 'palmetto']","['The Palmetto Bank', 'Palmetto Health']","[100, 100]"
555,panacea biotec,"Panacea Biotec Ltd, Panacea Biotec Ltd.","4816, 4817",panacea biotec,[43797],['panacea biotec'],['Panacea Biotec Ltd'],[100]
556,par,"Par Pharmaceutical, Par Pharmaceutical Inc, Par Pharmaceutical Inc., Par Pharmaceutical, Inc., Par Pharmaceuticals, Inc.","4820, 4821, 4822, 4823, 4824",par,"[43903, 57429]","['par', 'par']","['PaR Systems Inc', '3PAR Inc.']","[100, 100]"
557,paradigm,"Paradigm Pharmaceuticals Inc, Paradigm, Inc.","4825, 4826",paradigm,[44208],['paradigm'],['Paradigm Capital Inc'],[100]
558,parthenon,"The Parthenon Co., Inc.",6261,parthenon,[46450],['parthenon'],['Parthenon Capital LLC'],[100]
559,patriot,"Patriot Pharmaceuticals, Patriot Pharmaceuticals LLC, Patriot Pharmaceuticals, LLC, Patriot Pharmaceuticals, LLC.","4870, 4871, 4872, 4873",patriot,"[34776, 44351, 48369]","['patriot', 'patriot', 'patriot']","['American Patriot Corp.', 'Patriot Energy Group Inc', 'Patriot National Inc.']","[100, 100, 100]"
560,paxvax,"Paxvax, Inc.",4881,paxvax,[43990],['paxvax'],['PaxVax Inc.'],[100]
561,pbm,"PBM Pharmaceuticals, Inc",4882,pbm,[44055],['pbm'],['PBM Holdings Inc'],[100]
562,peninsula,Peninsula Home Health Care,4905,peninsula,[44202],['peninsula'],['Peninsula Capital Partners Llc'],[100]
563,performance,"Performance Health Inc., Performance Health LLC, Performance Health LLC., Performance Health, LLC","4912, 4913, 4914, 4915",performance,"[44474, 46111]","['performance', 'performance']","['Performance Health Holdings Corp', 'Performance Technologies Inc']","[100, 100]"
564,performance food,Performance Food Group,4911,performance food,[46107],['performance food'],['Performance Food Group Company'],[100]
565,pernix therapeutics,"Pernix Therapeutics, Pernix Therapeutics, LLC","4918, 4919",pernix therapeutics,[23512],['pernix therapeutics'],['Pernix Therapeutics Holdings Inc.'],[100]
566,perrigo,Perrigo Company,4920,perrigo,[44495],['perrigo'],['Perrigo Company PLC'],[100]
567,perrigo new york,"Perrigo New York Inc, Perrigo New York Inc.","4921, 4922",perrigo new york,[12398],['perrigo new york'],['Perrigo New York Inc'],[100]
568,personal,"Personal Care Products, Personal Care Products LLC, Personal Care Products, Inc., Personal Care Products, LLC","4925, 4926, 4927, 4928",personal,"[44501, 63357]","['personal', 'personal']","['Personal Group Holdings PLC', 'Personal Capital Corp.']","[100, 100]"
569,peter thomas roth labs,Peter Thomas Roth Labs LLC,4929,peter thomas roth labs,[46785],['peter thomas roth labs'],['Peter Thomas Roth Labs Llc'],[100]
570,petnet solutions,"PETNET Solutions, Inc.",4931,petnet solutions,[44541],['petnet solutions'],['Petnet Solutions Inc.'],[100]
571,pfizer,"Pfizer, Inc.",4937,pfizer,"[44602, 44603, 44604, 44607, 44608, 44610, 44643, 44648]","['pfizer', 'pfizer', 'pfizer', 'pfizer', 'pfizer', 'pfizer', 'pfizer', 'pfizer']","['Pfizer Inc', 'Pfizer AB', 'Pfizer AG', 'Pfizer B.V.', 'Pfizer Oy', 'Pfizer Ltd', 'Pfizer ApS', 'Pfizer S.A.']","[100, 100, 100, 100, 100, 100, 100, 100]"
572,pharmaca integrative pharmacy,"Pharmaca Integrative Pharmacy, Inc, Pharmaca Integrative Pharmacy, Inc.","4946, 4947",pharmaca integrative pharmacy,[45113],['pharmaca integrative pharmacy'],['Pharmaca Integrative Pharmacy Inc'],[100]
573,pharmacare,"PharmaCare US, Inc.",4951,pharmacare,[44729],['pharmacare'],['Pharmacare PLC'],[100]
574,pharmaceutics,"Pharmaceutics International, Inc. (Pii)",4956,pharmaceutics,[44703],['pharmaceutics'],['Pharmaceutics International Inc.'],[100]
575,pharmacyclics,Pharmacyclics LLC,4965,pharmacyclics,[44701],['pharmacyclics'],['Pharmacyclics Inc'],[100]
576,pharmalucence,"Pharmalucence Inc., Pharmalucence, Inc.","4971, 4972",pharmalucence,[12274],['pharmalucence'],['Pharmalucence Inc.'],[100]
577,pharmascience,Pharmascience Inc.,4976,pharmascience,[44918],['pharmascience'],['Pharmascience Inc'],[100]
578,pharming,Pharming Healthcare Inc.,4978,pharming,[44898],['pharming'],['Pharming Group NV'],[100]
579,phebra,Phebra Pty Ltd,4981,phebra,[44727],['phebra'],['Phebra Pty Ltd'],[100]
580,phi,"PHI, Inc",4982,phi,"[31133, 44755]","['phi', 'phi']","['PHI Group Inc', 'PHI Inc']","[100, 100]"
581,phillips,Phillips Company,4984,phillips,"[44803, 44813, 44826, 46662]","['phillips', 'phillips', 'phillips', 'phillips']","['Phillips International Inc', 'Phillips 66 Company', 'Phillips Corp', 'Phillips 66 Partners LP']","[100, 100, 100, 100]"
582,philosophy,"Philosophy, Philosophy Inc., Philosophy, Inc.","4985, 4986, 4987",philosophy,[44829],['philosophy'],['Philosophy Inc'],[100]
583,photocure,Photocure ASA,4991,photocure,[44932],['photocure'],['PhotoCure ASA'],[100]
584,physicians formula,"Physicians Formula, Physicians Formula Inc, Physicians Formula, Inc, Physicians Formula, Inc.","4995, 4996, 4997, 4998",physicians formula,[44970],['physicians formula'],"['Physicians Formula Holdings, Inc.']",[100]
585,pierre fabre,"Pierre Fabre Pharmaceuticals, Inc., Pierre Fabre USA, Pierre Fabre USA Inc.","5008, 5009, 5010",pierre fabre,[34437],['pierre fabre'],['Pierre Fabre SA'],[100]
586,pierrel,Pierrel S.p.A.,5011,pierrel,[45024],['pierrel'],['Pierrel SpA'],[100]
587,pinnacle biologics,"Pinnacle Biologics, Inc.",5015,pinnacle biologics,[44049],['pinnacle biologics'],['Pinnacle Biologics Inc.'],[100]
588,plus,Health Plus Inc.,2914,plus,"[44650, 45388]","['plus', 'plus']","['Plus500 Ltd.', 'PLUS Corporation']","[100, 100]"
589,prasco,"Prasco Laboratories, Prasco, LLC","5049, 5050",prasco,[45947],['prasco'],['Prasco Llc'],[100]
590,praxair,"Praxair, Inc.",5055,praxair,[45957],['praxair'],['Praxair Inc'],[100]
591,praxair distribution,"Praxair Distribution, Inc, Praxair Distribution, Inc.","5052, 5053",praxair distribution,[46508],['praxair distribution'],['Praxair Distribution Inc'],[100]
592,precision dose,"Precision Dose Inc., Precision Dose, Inc.","5058, 5059",precision dose,[44272],['precision dose'],['Precision Dose Inc.'],[100]
593,premier,Premier Medical Corporation,5091,premier,[46247],['premier'],['Premier Inc.'],[100]
594,prescriptives,PRESCRIPTIVES INC.,5102,prescriptives,[33250],['prescriptives'],['Prescriptives Inc'],[100]
595,pride,Pride Products Corporation,5109,pride,"[46012, 46149]","['pride', 'pride']","['Pride International Inc', 'Pride Technologies LLC']","[100, 100]"
596,primary,"Primary Pharmaceuticals, Inc, Primary Pharmaceuticals, Inc.","5110, 5111",primary,[46689],['primary'],['Primary Bank'],[100]
597,primecare,PrimeCare + Inc.,5119,primecare,"[44215, 45455]","['primecare', 'primecare']","['PrimeCare Systems, Inc.', 'PrimeCare Medical Inc']","[100, 100]"
598,procaps,"ProCaps Laboratories, Inc.",5133,procaps,[44207],['procaps'],['Procaps SA'],[100]
599,procter&gamble manufacturing,"Procter & Gamble Manufacturing Company, The Procter & Gamble Manufacturing Company","5139, 6267",procter&gamble manufacturing,[43704],['procter&gamble manufacturing'],['The Procter & Gamble Manufacturing Company'],[100]
600,professional,Professional Medical Supply,5159,professional,"[46097, 46527]","['professional', 'professional']","['Professional Bank', 'Professional Systems Corporation']","[100, 100]"
601,profoot,"Profoot, Inc.",5164,profoot,[46305],['profoot'],['Profoot Inc.'],[100]
602,prophase labs,"ProPhase Labs, Inc.",5180,prophase labs,[47423],['prophase labs'],['ProPhase Labs Inc.'],[100]
603,prostrakan,"ProStrakan, Inc.",5183,prostrakan,[54246],['prostrakan'],['ProStrakan Group plc'],[100]
604,pss world,"PSS World Medical, PSS World Medical, Inc.","5194, 5195",pss world,[44974],['pss world'],['PSS World Medical Inc'],[100]
605,ptc therapeutics,"PTC Therapeutics, Inc.",5198,ptc therapeutics,[46700],['ptc therapeutics'],['PTC Therapeutics Inc'],[100]
606,publix super markets,"Publix Super Markets, Publix Super Markets Inc, PUBLIX SUPER MARKETS INC,, Publix Super Markets Inc., PUBLIX SUPER MARKETS, INC, PUBLIX SUPER MARKETS, INC,, Publix Super Markets, Inc., Publix Super Markets, Inc.,","5201, 5202, 5203, 5204, 5205, 5206, 5207, 5208",publix super markets,[46918],['publix super markets'],['Publix Super Markets Inc'],[100]
607,puma biotechnology,"Puma Biotechnology, Inc.",5213,puma biotechnology,[46873],['puma biotechnology'],['Puma Biotechnology Inc.'],[100]
608,puretek,PureTek Corporation,5235,puretek,[46897],['puretek'],['PureTek Corporation'],[100]
609,putney,"Putney Inc, Putney, Inc.","5244, 5245",putney,[46756],['putney'],['Putney Inc.'],[100]
610,qpharma,"QPharma AB, QPharma Inc","5254, 5255",qpharma,[29688],['qpharma'],['QPharma Inc.'],[100]
611,quality,"Quality Care Products LLC, Quality Care Products, LLC, Quality Home Products","5260, 5261, 5265",quality,[27079],['quality'],['American Health Quality Association'],[100]
612,quantum,"Quantum Energy Co., Ltd., Quantum, Inc.","5269, 5270",quantum,"[8528, 47275, 47276, 47387, 50166, 57501]","['quantum', 'quantum', 'quantum', 'quantum', 'quantum', 'quantum']","['Quantum Energy Inc', 'Quantum Corporation', 'Quantum Health Inc.', 'Quantum Energy Partners', 'Quantum Capital Inc.', 'The Quantum Group Inc']","[100, 100, 100, 100, 100, 100]"
613,quest,"Quest Products, Inc., Quest Products, LLC.","5271, 5272",quest,[47336],['quest'],['Quest International Inc'],[100]
614,r,"R2 Pharma, LLC",5286,r,[49321],['r'],['R Systems International Limited'],[100]
615,radius,"Radius Health, Inc.",5290,radius,[3102],['radius'],"['Radius Health, Inc.']",[100]
616,ranbaxy,"Ranbaxy Laboratories Inc., Ranbaxy Pharmaceuticals Inc, Ranbaxy Pharmaceuticals Inc.","5302, 5303, 5304",ranbaxy,[47597],['ranbaxy'],['Ranbaxy Inc.'],[100]
617,ranir,Ranir LLC,5308,ranir,[47615],['ranir'],"['Ranir, LLC']",[100]
618,rare disease therapeutics,"Rare Disease Therapeutics, Inc, Rare Disease Therapeutics, Inc.","5313, 5314",rare disease therapeutics,[47642],['rare disease therapeutics'],['Rare Disease Therapeutics Inc.'],[100]
619,rb,"RB Health (US), RB Health (US) LLC, RB Health (US)LLC","5319, 5320, 5321",rb,[8705],['rb'],['RB Energy Inc.'],[100]
620,recipe,"Recipe Co., Ltd.",5328,recipe,[10431],['recipe'],['Recipe Unlimited Corp.'],[100]
621,reckitt benckiser,"Reckitt Benckiser, Reckitt Benckiser (UK) Ltd, Reckitt Benckiser LLC","5330, 5331, 5332",reckitt benckiser,"[47824, 47868]","['reckitt benckiser', 'reckitt benckiser']","['Reckitt Benckiser Inc.', 'Reckitt Benckiser Group PLC']","[100, 100]"
622,recovery,"Recovery Care Products LLC, RECOVERY CARE PRODUCTS, LLC","5337, 5338",recovery,"[19723, 41492]","['recovery', 'recovery']","['Energy Recovery Inc.', 'National Recovery Technologies, Inc.']","[100, 100]"
623,red mountain,"Red Mountain, Inc.",5341,red mountain,[48165],['red mountain'],['Red Mountain Capital Partners LLC'],[100]
624,regent,"American Regent, Inc.",373,regent,"[48101, 48107, 48407]","['regent', 'regent', 'regent']","['Regent Partners Llc', 'Regent Medical Ltd.', 'Regent Bank']","[100, 100, 100]"
625,reliance,Reliance Medical Ltd,5368,reliance,"[47796, 48146]","['reliance', 'reliance']","['Reliance Capital Ltd', 'Reliance Group Holdings Inc']","[100, 100]"
626,relypsa,"Relypsa, Inc.",5371,relypsa,[48159],['relypsa'],['Relypsa Inc.'],[100]
627,renaissance,"Renaissance Pharma, Inc.",5376,renaissance,"[48182, 48202, 48204]","['renaissance', 'renaissance', 'renaissance']","['Renaissance Capital Group Inc', 'Renaissance Capital Holdings Ltd', 'Renaissance Technologies Corp']","[100, 100, 100]"
628,retrophin,"Retrophin, Inc, Retrophin, Inc.","5395, 5396",retrophin,[2946],['retrophin'],"['Retrophin, Inc.']",[100]
629,rev,"Rev Pharma Corp, Rev Pharma Corp.","5397, 5398",rev,[1371],['rev'],['REV Group Inc'],[100]
630,rexall sundown,"Rexall Sundown, LLC",5406,rexall sundown,[48321],['rexall sundown'],['Rexall Sundown Inc'],[100]
631,rhodes,Rhodes Pharmaceuticals L.P.,5410,rhodes,[48467],['rhodes'],['Rhodes Technologies Inc.'],[100]
632,ricola,"Ricola Ag, Ricola USA Inc.","5417, 5418",ricola,[48509],['ricola'],['Ricola AG'],[100]
633,rite aid,"Rite Aid, Rite Aid Corporation, Rite Aid Corporation.","5435, 5436, 5437",rite aid,[49333],['rite aid'],['Rite Aid Corp'],[100]
634,ritedose,"Ritedose Pharmaceuticals, LLC",5440,ritedose,[26522],['ritedose'],['The Ritedose Corporation'],[100]
635,roche,Roche Laboratories Inc.,5458,roche,[48899],['roche'],"['Roche Holdings, Inc.']",[100]
636,rochester midland,Rochester Midland Corporation,5459,rochester midland,[49016],['rochester midland'],['Rochester Midland Corp'],[100]
637,rockwell,"Rockwell Medical, Inc",5461,rockwell,[48955],['rockwell'],"['Rockwell Medical, Inc.']",[100]
638,ross,Ross Healthcare Inc.,5474,ross,[62697],['ross'],['Ross Group PLC'],[100]
639,royal,Royal Pharmaceuticals,5484,royal,[45370],['royal'],"['Royal Group, Inc.']",[100]
640,s,S+,5511,s,"[16983, 17511, 50779, 50856]","['s', 's', 's', 's']","['4S2 Company Inc', 'S4 Capital PLC', 'S1 Corp', 'S8 Ltd']","[100, 100, 100, 100]"
641,sa,"SA3, LLC",5512,sa,[50050],['sa'],['Sa Sa International Holdings Ltd'],[100]
642,safeway,"Safeway, SAFEWAY INC, SAFEWAY INC., Safeway, Inc, Safeway, Inc.","5525, 5526, 5527, 5528, 5529",safeway,[51127],['safeway'],['Safeway Inc'],[100]
643,sage,"Sage Products LLC, Sage Products, LLC","5531, 5532",sage,[49793],['sage'],['The Sage Group PLC'],[100]
644,sage therapeutics,"Sage Therapeutics, Inc.",5533,sage therapeutics,[51225],['sage therapeutics'],['SAGE Therapeutics Inc.'],[100]
645,sales,"American Sales, American Sales Co, American Sales Company, American Sales Company, Inc.","374, 375, 376, 377",sales,"[3300, 3316]","['sales', 'sales']","['American Sales Corporation', 'American Sales Company Inc']","[100, 100]"
646,sandoz,"Sandoz GmbH, Sandoz Inc, Sandoz Inc.","5573, 5574, 5575",sandoz,"[23360, 49931]","['sandoz', 'sandoz']","['Sandoz Inc.', 'Sandoz Ltd']","[100, 100]"
647,sanofi,Sanofi US Corporation,5581,sanofi,[49988],['sanofi'],['Sanofi SA'],[100]
648,sanofi pasteur,Sanofi Pasteur Inc.,5580,sanofi pasteur,"[3828, 3829, 5716]","['sanofi pasteur', 'sanofi pasteur', 'sanofi pasteur']","['Sanofi Pasteur SA', 'Sanofi Pasteur Limited', 'Sanofi Pasteur Inc']","[100, 100, 100]"
649,sanofi-aventis,Sanofi-Aventis U.S. LLC,5582,sanofi-aventis,"[3878, 5610, 5703]","['sanofi-aventis', 'sanofi-aventis', 'sanofi-aventis']","['Sanofi-Aventis GmbH', 'Sanofi-Aventis Oy', 'Sanofi-Aventis AB']","[100, 100, 100]"
650,santarus,"Santarus Inc., Santarus, Inc., Santarus, Inc..","5584, 5585, 5586",santarus,[52820],['santarus'],['Santarus Inc'],[100]
651,sarepta therapeutics,"Sarepta Therapeutics, Inc.",5594,sarepta therapeutics,[3709],['sarepta therapeutics'],['Sarepta Therapeutics Inc.'],[100]
652,sato,"Sato Pharmaceutical Co., Ltd., Sato Pharmaceutical Inc., Ltd.","5598, 5599",sato,[50072],['sato'],['Sato Holdings Corporation'],[100]
653,save-a-lot food stores,"Save-A-Lot Food Stores Ltd, Save-A-Lot Food Stores, LTD, SAVE-A-LOT FOOD STORES, LTD.","5603, 5604, 5605",save-a-lot food stores,[49858],['save-a-lot food stores'],['Save-A-Lot Food Stores Inc'],[100]
654,savior lifetec,Savior Lifetec Corporation,5607,savior lifetec,[54782],['savior lifetec'],['Savior Lifetec Corporation'],[100]
655,school,School Health Corporation,5614,school,[50360],['school'],['School Health Corporation'],[100]
656,schryver sales marketing,"Schryver Medical Sales and Marketing, Inc.",5615,schryver sales marketing,[50461],['schryver sales marketing'],['Schryver Medical Sales and Marketing LLC'],[100]
657,schwabe north america,"Schwabe North America, Schwabe North America, Inc, Schwabe North America, Inc.","5620, 5621, 5622",schwabe north america,[41507],['schwabe north america'],['Schwabe North America Incorporated'],[100]
658,sci,SCI International,5625,sci,[50392],['sci'],['SCI AG'],[100]
659,scios,Scios LLC,5637,scios,[50420],['scios'],['Scios Inc'],[100]
660,scope,Scope Health Inc,5639,scope,[50519],['scope'],['Scope International Pvt Limited'],[100]
661,scripsamerica,ScripsAmerica,5641,scripsamerica,[45961],['scripsamerica'],['ScripsAmerica Inc'],[100]
662,seattle genetics,"Seattle Genetics, Inc.",5650,seattle genetics,[50751],['seattle genetics'],['Seattle Genetics Inc'],[100]
663,select,Select Corporation,5660,select,"[20854, 52121]","['select', 'select']","['Select Energy Services Inc', 'Select Medical Holdings Corporation']","[100, 100]"
664,service,Medical Service Company,4006,service,"[53673, 58539]","['service', 'service']","['Service Corp International', 'National Health Service']","[100, 100]"
665,servier,Servier Pharmaceuticals LLC,5681,servier,[53680],['servier'],['Servier SA'],[100]
666,seton,"Seton Pharmaceuticals, Seton Pharmaceuticals, LLC","5683, 5684",seton,[54154],['seton'],['Seton Company'],[100]
667,sgs,SGS Inc.,5690,sgs,"[51216, 53129]","['sgs', 'sgs']","['SGS SA', 'SGS International, Inc.']","[100, 100]"
668,shaklee,Shaklee Corporation,5691,shaklee,[51429],['shaklee'],['Shaklee Corporation'],[100]
669,shionogi,Shionogi Inc.,5732,shionogi,[51408],['shionogi'],['Shionogi Inc'],[100]
670,shire,Shire LLC,5733,shire,[51412],['shire'],['Shire plc'],[100]
671,shiseido,"SHISEIDO CO., LTD.",5738,shiseido,[51571],['shiseido'],['Shiseido Co Ltd'],[100]
672,shiseido americas,SHISEIDO AMERICAS CORPORATION,5737,shiseido americas,"[50501, 51420]","['shiseido americas', 'shiseido americas']","['Shiseido Americas Corporation', 'Shiseido Americas Corporation']","[100, 100]"
673,shopko stores,ShopKo Stores,5743,shopko stores,[51527],['shopko stores'],['Shopko Stores Inc'],[100]
674,sientra,"SIENTRA, INC.",5759,sientra,[62731],['sientra'],['Sientra Inc.'],[100]
675,siga,"SIGA Technologies, Inc.",5761,siga,[51734],['siga'],"['SIGA Technologies, Inc.']",[100]
676,silver star brands,Silver Star Brands,5765,silver star brands,[36870],['silver star brands'],['Silver Star Brands'],[100]
677,silvergate,"Silvergate Pharmaceuticals, Inc.",5766,silvergate,"[52289, 52290]","['silvergate', 'silvergate']","['Silvergate Bank', 'Silvergate Capital Corporation']","[100, 100]"
678,similasan,Similasan Corporation,5767,similasan,"[51790, 52440]","['similasan', 'similasan']","['Similasan Corp', 'Similasan AG']","[100, 100]"
679,sina,Sina Health Inc,5773,sina,[51814],['sina'],['SINA Corporation'],[100]
680,skinmedica,"SkinMedica Pharmaceuticals, Inc.",5804,skinmedica,[52009],['skinmedica'],"['SkinMedica, Inc.']",[100]
681,sky,"Sky Systems Co., Inc",5810,sky,[9233],['sky'],['Sky PLC'],[100]
682,sloan valve,Sloan Valve Company,5819,sloan valve,[52198],['sloan valve'],['Sloan Valve Company'],[100]
683,smart,Home Smart Products,3022,smart,"[3143, 52304]","['smart', 'smart']","['Smart Inc.', 'SMART Technologies Inc']","[100, 100]"
684,smith&nephew,"Smith & Nephew Medical Ltd, Smith & Nephew Medical Ltd., SMITH & NEPHEW, INC, Smith & Nephew, Inc., Smith & Nephew, Medical Ltd, Smith & Nephew, Medical Ltd.","5831, 5832, 5833, 5834, 5835, 5836",smith&nephew,"[52530, 52570]","['smith&nephew', 'smith&nephew']","['Smith & Nephew S.r.l.', 'Smith & Nephew PLC']","[100, 100]"
685,softech,Softech Pharma Pvt. Ltd,5852,softech,[53913],['softech'],['Softech Inc'],[100]
686,solco biomedical,"SOLCO BIOMEDICAL CO., LTD.",5856,solco biomedical,[52873],['solco biomedical'],['Solco Biomedical Co Ltd'],[100]
687,solstice neurosciences,"Solstice Neurosciences, LLC",5865,solstice neurosciences,[52641],['solstice neurosciences'],['Solstice Neurosciences Inc.'],[100]
688,solutions,Solutions 4 Health,5869,solutions,"[44229, 55801, 58269]","['solutions', 'solutions', 'solutions']","['Solutions 30 SE', '11 88 0 Solutions AG', 'Medical Solutions L.L.C.']","[100, 100, 100]"
689,source naturals,"Source Naturals, Inc.",5881,source naturals,[53574],['source naturals'],['Source Naturals'],[100]
690,southern gas,Southern Gas and Supply LLC,5887,southern gas,"[1676, 53127]","['southern gas', 'southern gas']","['Southern Company Gas', 'Southern Gas Ltd']","[100, 100]"
691,sovereign,"Sovereign Pharmaceuticals, LLC",5893,sovereign,"[50520, 53157]","['sovereign', 'sovereign']","['Sovereign Capital Partners LLP', 'Sovereign Systems LLC']","[100, 100]"
692,spark therapeutics,"Spark Therapeutics, Inc.",5899,spark therapeutics,[10963],['spark therapeutics'],['Spark Therapeutics Inc'],[100]
693,spartan chemical,Spartan Chemical Company,5902,spartan chemical,[53455],['spartan chemical'],['Spartan Chemical Company Inc'],[100]
694,spectra devices,"Spectra Medical Devices, Inc.",5909,spectra devices,[52351],['spectra devices'],['Spectra Medical Devices Inc.'],[100]
695,spectrum,"Spectrum Pharmaceuticals, Inc.",5913,spectrum,"[35179, 53210, 53298, 53459]","['spectrum', 'spectrum', 'spectrum', 'spectrum']","['Spectrum Group International Inc', 'Spectrum Group', 'Spectrum Health Systems Inc.', 'Spectrum ASA']","[100, 100, 100, 100]"
696,spirit,"Spirit Pharmaceutical LLC, Spirit Pharmaceuticals LLC","5919, 5920",spirit,"[53313, 61578]","['spirit', 'spirit']","['Spirit Bank', 'American Spirit Corporation']","[100, 100]"
697,sport,4sport D.o.o.,26,sport,[25913],['sport'],['Sport Capital Group PLC'],[100]
698,sprout,"Sprout Pharmaceuticals, Inc.",5923,sprout,[53460],['sprout'],['Sprout Group'],[100]
699,standard homeopathic,STANDARD HOMEOPATHIC COMPANY,5941,standard homeopathic,[53852],['standard homeopathic'],['Standard Homeopathic Company'],[100]
700,staples,Staples,5944,staples,[54236],['staples'],['Staples Inc'],[100]
701,staples office superstore,"Staples the Office Superstore, LLC",5945,staples office superstore,[54241],['staples office superstore'],['Staples The Office Superstore LLC'],[100]
702,stemline therapeutics,"Stemline Therapeutics, Inc.",5954,stemline therapeutics,[54139],['stemline therapeutics'],['Stemline Therapeutics Inc'],[100]
703,sterimax,SteriMax Inc.,5955,sterimax,[57671],['sterimax'],['SteriMax Inc'],[100]
704,steris,Steris Corporation,5956,steris,"[53988, 54260]","['steris', 'steris']","['Steris Ltd', 'STERIS PLC']","[100, 100]"
705,store,"The Medical Store, The Medical Store, Inc.","6254, 6255",store,[15387],['store'],['STORE Capital Corp.'],[100]
706,stratus,"Stratus Pharmaceuticals, STRATUS PHARMACEUTICALS INC, Stratus Pharmaceuticals, Inc.","5987, 5988, 5989",stratus,[54323],['stratus'],['Stratus Technologies Inc'],[100]
