Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
Geriatric Nursing Assistant,26,National Association of Emergency Medical Technicians (NAEMT),Geriatric Education for EMS - 2nd Edition GEMS Core course,0.1409,0.1111,0.0176
Acquired Immune Deficiency Syndrome (AIDS) Certification,59,American Heart Association,HeartSaver First Aid,0.0791,0.1870,0.0167
Electronic Engineering Certification,65,Mainstream Engineering Corporation,HVAC EPA 608 Universal Certification  ,0.1872,0.0750,0.0158
American Bureau of Shipping Certification (ABS),8,American Association of Family and Consumer Sciences,Pre-Professional Certification in Education Fundamentals,0.1867,0.0750,0.0158
Aruba Certified Mobility Professional (ACMP),17,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Accounts Payable Professional,8,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Benefits Professional,18,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Compensation Professional (CCP),60,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Cost Professional (CCP),3,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Equity Professional,10,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Hipaa Professional,57,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Hr Professional,1,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Meeting Professional (CMP),2,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Professional Ergonomist,1,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Professional Salesperson,1,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Professional Secretary,202,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Purchasing Professional,2,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Certified Treasury Professional (CTP),61,AAPC,Certified Professional Biller (CPB),0.0886,0.1572,0.0157
Salesforce Pardot Specialist,2,Academy of Veterinary Nutrition Technicians,Veterinary Technician Specialist- Nutrition,0.0865,0.1535,0.0150
Nail Technology,1,American Health Information Management Association,Certified Healthcare Technology Specialist -  Technical/Software Support Staff,0.1208,0.1072,0.0146
Certified Avian Specialist,4,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
Certified Brain Injury Specialist,3,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
Certified Exchange Specialist,1,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
Certified Exercise Specialist,1,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
Certified Occupancy Specialist,41,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
Certified Therapeutic Recreation Specialist (CTRS),2,Adobe Systems Incorporated ,Adobe Certified Associate - Visual Design Specialist,0.1044,0.1235,0.0145
200 Ton Masters,2,National Maritime Center,Master 100 Tons (TIDECC-281),0.0845,0.1500,0.0143
Cooking Certification,6,American Culinary Federation,Certified Fundamentals Cook (CFC),0.0845,0.1500,0.0143
Aggregate Technician Certification,31,American Boat and Yacht Council (ABYC),American Boat and Yacht Council (ABYC) Technician Certification,0.1194,0.1059,0.0143
Certified in Propane,1,Adobe Systems Incorporated ,Adobe Certified Associate in Multiplatform Animation using Adobe Animate CC,0.1328,0.0942,0.0141
American Society of Mechanical Engineers (ASME) Certified,194,American Society of Plumbing Engineers,Certified in Plumbing Design,0.3919,0.0317,0.0140
Activity Director Certified (ADC),3,ETA International,Associate Electronics Technician - Direct Current,0.1024,0.1200,0.0139
Certified Molder,2,SOLIDWORKS,Certified SOLIDWORKS Advanced Professional Mold Making,0.1013,0.1199,0.0137
Certified Pest Control,650,ESCO Group,Master Specialist Hands On Hydronic System Variable Flow Control Set-up and Commissioning,0.1522,0.0794,0.0136
Certified Blueprint Reader,45,Building Performance Institute,Crew Leader,0.0564,0.2000,0.0127
Msha Certified,97,Occupational Safety & Health Administration,OSHA HAZWOPER,0.0564,0.2000,0.0127
American Institute of Certified Planners,136,American Institute of Constructors,Certified Professional Constructor,0.2424,0.0423,0.0116
Computer Maintenance Certification,32,"Apple Computer, Inc.",Apple Certified iOS Technician (ACiT) Certification (2019),0.1915,0.0536,0.0116
Computer Science Certification,43,"Apple Computer, Inc.",Apple Certified iOS Technician (ACiT) Certification (2019),0.1915,0.0536,0.0116
Computer Skills Certification,1,"Apple Computer, Inc.",Apple Certified iOS Technician (ACiT) Certification (2019),0.1915,0.0536,0.0116
AFAA Certification,10,Federal Aviation Administration (FAA),Remote Pilot Airman Certification,0.1092,0.0937,0.0115
Certified Interpretive Guide,8,Boys' Town National Research Hospital,Educational Interpreter Performance Assessment Certification,0.0845,0.1200,0.0114
Good Conduct,501,International Fluid Power Society,Fluid Power Connector and Conductor,0.0845,0.1200,0.0114
NICET Soils,2,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0845,0.1200,0.0114
Private Investigation,10,Infrared Training Center,Level I Certified Building Investigations,0.0845,0.1200,0.0114
Chemical Application License,1,Federal Emergency Management Agency (FEMA),"Basic Emergency Medical Services for Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events (AWR-111-W)",0.1409,0.0714,0.0113
Chemical Applicator License,17,Federal Emergency Management Agency (FEMA),"Basic Emergency Medical Services for Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events (AWR-111-W)",0.1409,0.0714,0.0113
Chemical License,2,Federal Emergency Management Agency (FEMA),"Basic Emergency Medical Services for Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events (AWR-111-W)",0.1409,0.0714,0.0113
Explosive License,28,Federal Emergency Management Agency (FEMA),"Basic Emergency Medical Services for Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events (AWR-111-W)",0.1409,0.0714,0.0113
Certified Wedding Planner,4,National Institute for Metal Working Skills (NIMS),"Machining Level I: Job Planning, Benchwork, and Layout",0.1354,0.0740,0.0113
Certified Culinary Administrator,8,American Culinary Federation,Certified Culinarian,0.1577,0.0635,0.0113
Licensed Professional Counselor,93,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.1260,0.0784,0.0111
Licensed Professional Geologist,3,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.1260,0.0784,0.0111
Asap Certified,1,"SAP America, Inc.",SAP Certified Application Associate - SAP CPQ Implementation,0.0743,0.1324,0.0111
Certified Staffing Professional,7,American Health Information Management Association,Certified Healthcare Technology Specialist -  Technical/Software Support Staff,0.1024,0.0909,0.0105
Certified To Carry A Firearm,3,ESCO Group,"Master Specialist Hands On Constant Air Volume, A/C and Heat Pump Systems Set-up and Commissioning",0.1533,0.0601,0.0104
Criminal Justice Addictions Professional (CCJP),2,AAPC,Certified Professional Biller (CPB),0.0707,0.1255,0.0100
Certified in Integrated Resource Management (CIRM),6,Society for Human Resource Management (SHRM),SHRM Certified Professional (SHRM-CP),0.2756,0.0317,0.0099
Certified Framer,96,National Center for Construction Education and Research (NCCER),Carpentry - Level 2: Residential Framing & Finishing,0.0845,0.1000,0.0095
Certified Picture Framer,3,National Center for Construction Education and Research (NCCER),Carpentry - Level 2: Residential Framing & Finishing,0.0845,0.1000,0.0095
45 Words Per Minute,131,Microsoft,Microsoft Office Specialist (MOS) - Word 2016,0.0834,0.0987,0.0093
2M Certified Technician,8,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Euthanasia Technician,9,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Lube Technician,395,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Medication Technician,14,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Nail Technician,2,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Patient Account Technician,617,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Scrub Technician,995,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Chevrolet Certified Technician,2,American Health Information Management Association (AHIMA),Registered Health Information Technician (RHIT),0.0845,0.0945,0.0090
Certified Premier Partner,2,Adobe Systems Incorporated ,Adobe Certified Associate - Premiere CS5,0.0743,0.1054,0.0088
Clia Certified,14,American Society for Quality (ASQ),Certified Quality Improvement Associate (CQIA),0.0743,0.1054,0.0088
ISTQB Certified,77, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0743,0.1054,0.0088
Bea Certified,5,Internal Revenue Service,Enrolled Agent (EA),0.0564,0.1333,0.0085
Certified Superintendent,3,National Center for Construction Education and Research,Construction Superintendant Certification,0.0564,0.1333,0.0085
Help Desk Certification,14,United States Coast Guard National Maritime Center,Unlicensed Deck Engineer,0.0564,0.1333,0.0085
Licensed Real Estate Broker,9,Equipment & Engine Training Council,Reel Technology Certification,0.0564,0.1333,0.0085
Horse Racing,10,Residential Energy Services Network,Rating Field Inspector,0.0553,0.1307,0.0081
IS0 22000,2,International Society of Arboriculture (ISA),ISA Certified Arborist,0.0553,0.1307,0.0081
Certified Manager of Software Testing,23, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.2835,0.0254,0.0081
Certified Municipal Finance Officer (CMFO),2,Institute of Business & Finance,Certified Income Specialist,0.1588,0.0423,0.0076
AWS Certified DevOps Engineer,17,American Welding Society (AWS),Certified Welder (CW),0.1566,0.0423,0.0075
AWS Certified Radiographic Interpreter,2,American Welding Society (AWS),Certified Welder (CW),0.1566,0.0423,0.0075
Department of Transportation (DOT) Certified,439,Department of Environmental Quality,Certified Emissions Repair Technician ,0.2082,0.0317,0.0075
Swimming Pool Operators Certified,10,Building Operators Certification,Certified Building Operator,0.1555,0.0423,0.0074
Certified Institutional Review Board (IRB) Professional,4,Examination Board of Professional Home Inspectors,Certified National Home Inspector,0.2016,0.0317,0.0072
Dialysis Technician,14,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Neurology,0.0666,0.0945,0.0071
Gaming & Vending Technician (GVT),18,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Neurology,0.0666,0.0945,0.0071
HazMat Technician,261,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Neurology,0.0666,0.0945,0.0071
Histologic Technician,2,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Neurology,0.0666,0.0945,0.0071
Certified Painter,1,National Institute for Automotive Service Excellence,Collision Repair and Refinish: Painting and Refinishing Technician,0.0834,0.0740,0.0070
Certified Medication Aide,18,American Heart Association,HeartSaver First Aid,0.0509,0.1203,0.0069
Certified Estimator,6,National Institute for Automotive Service Excellence (ASE),Automotive Service Excellence (ASE) - B6 Damage Analysis &amp; Estimating,0.0845,0.0667,0.0064
Certified Tig,9,Cloud Credential Council,Big Data Foundation Certification,0.0564,0.1000,0.0064
Certified Volunteer,6,Federal Emergency Management Agency (FEMA),Developing and Managing Volunteers,0.0564,0.1000,0.0064
Sarbanes-Oxley (SOX) Certification,3,American Society for Quality (ASQ),Six Sigma Green Belt,0.0553,0.0980,0.0061
Blue Print Reading,19,IPC - Association Connecting Electronics Industries,"IPC-7721& IPC-7711 Rework, Repair, & Modification of Printed Boards & Electronic Assemblies",0.0845,0.0600,0.0057
Certified Custom Framer,2,Custom Electronic Design and Installation Association,CEDIA Electronic Systems Certified,0.1588,0.0317,0.0057
Certified Nephrology Nurse,1,Board of Nephrology Examiners Technology Nursing,Certified Hemodialysis Bio-Medical Technician,0.1588,0.0317,0.0057
Certified Solid Works,89,Solid Waste Association of North America,Certified Collection Systems - Manager,0.1588,0.0317,0.0057
Certified Cardiovascular Technologist,1,Cardiovascular Credentialing International,Certified Cardiographic Technician (CCT),0.1577,0.0317,0.0056
Certified Nursing Assistant,494,Board of Nephrology Examiners Technology Nursing,Certified Hemodialysis Bio-Medical Technician,0.1577,0.0317,0.0056
Certified Financial Counselor,2,American Academy of Financial Management,Certified International Tax Analyst,0.1566,0.0317,0.0056
Certified Financial Planner (CFP),427,American Academy of Financial Management,Certified International Tax Analyst,0.1566,0.0317,0.0056
Certified Financial Services Auditor,2,American Academy of Financial Management,Certified International Tax Analyst,0.1566,0.0317,0.0056
3-Star Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
AAALAC Certification,3,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Aerial Bucket Certification,2,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Agile Certification,34,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Armorer Certification,2,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Bels Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Bilingual Certification,29,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Blasters Certification,38,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Broker's Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Budgeting Certification,2,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
cdia+ Certification,2,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Cosmetology Certification,7,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Counseling Certification,67,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Criminal Justice Certification,21,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Crisis Intervention Certification,60,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Dermatology Certification,3,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
E.K.G. Certification,9,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
English Certification,6,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Epic Certification,176,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Facilitation Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Italian Language Certification,5,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Japanese Language Certification,6,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Kaizen Certification,22,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Law Enforcement Certification,28,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Librarian Certification,7,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Local Anesthesia Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Manicurist Certification,76,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Mediation Certification,4,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Mentor Certification,29,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Nitrous Oxide Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Pole Climbing Certification,140,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Prince2 Certification,8,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Procurement Certification,12,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Purchasing Certification,20,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Reading Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Regulatory Affairs Certification,3,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
SAS Certification,5,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Scheduling Certification,16,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Soldering Certification,402,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Spanish Certification,2,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Step Certification,1,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
TOGAF Certification,15,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Typing Certification,1262,Aerospace Medical Association,Certification in Aerospace Physiology,0.0528,0.0937,0.0056
Audi Certified,27,"Avid Technology, Inc.",Avid Certified User: Pro Tools for Game Audio,0.0720,0.0639,0.0052
Awci Certified,1,American Concrete Institute International,ACI Shotcrete Nozzleman (Wet-Mix Process),0.0564,0.0800,0.0051
Math Certification,4,National Association of the Remodeling Industry,Certified Kitchen and Bath Remodeler,0.0564,0.0800,0.0051
Shop Math,11,National Association of the Remodeling Industry,Certified Kitchen and Bath Remodeler,0.0564,0.0800,0.0051
Company Licensed,23,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Acupuncturist,1,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Attorney,135,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Barber,18,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Counselor,15,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Mortgage Loan Originator,19,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Orthodontist,2,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Licensed Prosthodontist,1,Department of Professional and Occupational Regulation (DPOR),Alternative Onsite Soil Evaluators license,0.0553,0.0784,0.0049
Certified Unit Secretary,52,United Bicycle Institute,Certified Bicycle Technician,0.0980,0.0423,0.0047
Certified Software Business Analyst,5, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.1555,0.0254,0.0045
PMI Agile Certified Practitioner (PMI-ACP),29,Practice Management Institute (PMI),Certified Medical Office Manager (CMOM),0.1544,0.0254,0.0044
Alabama Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Arizona Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
California Bar,15,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Florida Bar,4,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Kansas Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Michigan Bar,2,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Missouri Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Oklahoma Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Oregon Bar,55,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
South Carolina Bar,2,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Texas Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Virginia Bar,1,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Washington Bar,5,Chesapeake Conservation Landscaping Council,Chesapeake Bay Landscape Professional Level 1,0.0564,0.0667,0.0042
Ward Clerk,1,Microsoft,Microsoft Office Specialist (MOS) - Word 2016,0.0553,0.0654,0.0041
Certified Hair Stylist,135,American Council for Accredited Certification (ACAC),Council/Certified Indoor Air Quality Manager,0.0552,0.0653,0.0041
Certified Playground Safety Inspector,60,Auto Glass Safety Council,Certified Auto Glass Qualified Technician,0.1387,0.0254,0.0040
Board Certified/Board Eligible,437, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.1308,0.0254,0.0037
Certified Computer Examiner,1,"Apple Computer, Inc.",Apple Certified Support Professional (ACSP) 10.15,0.1566,0.0212,0.0037
Certified Mortgage Banker,2,American Bankers Association,Certified IRA Services Professional,0.0743,0.0317,0.0027
Certified Health Physicist,5,American Health Information Management Association,Certified Healthcare Technology Specialist -  Technical/Software Support Staff,0.1469,0.0159,0.0026
Graphic Arts,8,National Institute for Automotive Service Excellence,Medium/Heavy Truck Aftermarket Parts Specialist (Suspension and Steering),0.0541,0.0427,0.0026
3M Certified,8, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
6-G Certified,29, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Abc Certified,11, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Aes Certified,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Ahip Certified,5, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Asa Certified,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Asc Certified,84, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Atv Certified,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Blue Oval Certified,15, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
BMW Certified,54, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Carf Certified,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Anti Money Laundering,45, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Boilermaker,52, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Brazer,12, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Climber,20, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Crop Advisor,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Cytotechnologist,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Dealer,52, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Detailer,8, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Divemaster,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Driver,91, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Entomologist,8, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Erector,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Escort,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Esthetician,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Fertilizer,9, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Forester,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Gemologist,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Gunsmith,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Hi-Lo Driver,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Horticulturist,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Hospice,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Interviewer,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Ironworker,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Janitorial,4, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Lactation Counselor,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Lifeguard,10, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Manlift,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Microstation,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Nurseryman,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Orthotist,5, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Pedorthist,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Proadvisor,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Prosthetist,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Recruiter,2, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Rehabilitation Counselor,78, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Sanitarian,16, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified ScrumMaster (CSM),208, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Specimen Collector,3, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Spotter,1, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Substance Abuse Counselor,44, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
Certified Teacher,507, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.0179,0.0254,0.0005
